ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
9,Ciudad de México,2,Azcapotzalco,0,Total del Municipio,432205,227255,204950,11784,5702,6082,420056,221370,198686,410780,216806,193974,377144,200360,176784,361474,192669,168805,345123,184700,160423,14191,6954,7237,28721,14056,14665,35256,17270,17986,15670,7691,7979,16351,7969,8382,43088,21303,21785,115600,78650,45565,33085,90.19,70366,306611,54863,1.6,349428,181067,168361,79365,44454,34911,388572,205428,183144,20545,10573,9972,3208,1708,1500,21,15,6,3159,1678,1481,3199,21,3150,7261,8864,4503,4361,24000,12346,9965,2886,5823,4220,4051,56564,19192,36011,2857,13668,2920,11463,6358,348220,3278,1564,1714,1475,701,774,969,430,539,13779,6802,6977,21840,11006,10834,386,158,228,3675,2658,1017,4863,3374,1489,10863,7082,3781,30849,18645,12204,7539,3341,4198,60401,30819,29582,234812,122122,112690,11.91,11.7,12.14,239069,110331,128738,137554,89796,47758,232719,107939,124780,6350,2392,3958,90370,341302,238847,48827,902,11600,34369,876,10983,2854,147260,171393,58399,335663,29623,2171,63846,134168,54550,79618,431347,164470,266877,149381,134204,145267,130090,133962,134168,10714,4463,431347,3.21,0.77,133490,334,37763,96070,3888,12670,117275,133798,38,133597,132706,239,107591,84062,133572,45,133748,87,133511,2,133563,65802,188,128896,115721,97011,64567,9851,33588,106789,130067,86856,96128,123961,105899,66399,50965,31801,1661,2869,22687,322,*
9,Ciudad de México,3,Coyoacán,0,Total del Municipio,614447,325337,289110,14791,7252,7539,599528,318019,281509,587692,312162,275530,543990,290668,253322,522992,280428,242564,500374,269320,231054,18061,8857,9204,37477,18494,18983,46646,22916,23730,20998,10240,10758,22618,11108,11510,63817,31569,32248,162387,126592,73584,53008,88.86,91327,432544,90448,1.55,495288,257509,237779,110671,63258,47413,563641,299642,263999,20232,10652,9580,7728,4422,3306,57,34,23,7630,4367,3263,7681,56,7584,15349,11120,5762,5358,34446,17427,13897,4106,8413,6310,6613,76689,26277,46674,3782,19239,3929,16263,11104,497720,3734,1848,1886,1698,811,887,1243,588,655,19112,9494,9618,34728,17235,17493,551,239,312,5765,3902,1863,8086,5269,2817,14199,9085,5114,35386,21531,13855,9614,4368,5246,78405,41397,37008,361934,189868,172066,12.51,12.29,12.77,340527,160166,180361,202374,130022,72352,331549,156658,174891,8978,3508,5470,160961,452819,273066,96651,530,6624,50485,1386,36751,5054,214160,247186,82270,463550,39559,2881,106925,191517,80509,111008,612130,239563,372567,208024,191646,199165,182787,191244,191517,12076,4302,612130,3.2,0.7,190701,450,46621,144563,8052,15789,167334,191126,61,191053,190474,133,154811,114453,190834,51,190986,182,190814,2,190732,77944,268,184255,167211,143006,109429,14520,36902,154275,184451,133587,145013,179280,157908,101660,80413,44991,2893,3506,27008,443,*
9,Ciudad de México,4,Cuajimalpa de Morelos,0,Total del Municipio,217686,113537,104149,8030,3935,4095,209540,109545,99995,203315,106464,96851,181693,95927,85766,172263,91212,81051,162395,86322,76073,9524,4673,4851,18323,8945,9378,21875,10800,11075,9430,4715,4715,9868,4890,4978,25202,12908,12294,62894,25803,14266,11537,91.73,45307,155503,16760,1.66,179249,91580,87669,32842,19039,13803,192855,100591,92264,7892,4532,3360,2046,1186,860,6,3,3,1995,1160,835,2032,6,1983,4022,3053,1524,1529,7684,3416,3565,1068,1729,1448,1362,18693,5542,12062,1069,4091,908,3453,2415,189457,2613,1335,1278,1038,458,580,669,302,367,7966,4010,3956,11086,5652,5434,348,157,191,2575,1715,860,3852,2469,1383,7000,4343,2657,16158,9503,6655,4773,2171,2602,35791,18647,17144,98758,50894,47864,11.44,11.2,11.71,119508,54447,65061,61443,41066,20377,117358,53727,63631,2150,720,1430,52803,164222,88466,15952,340,1534,27886,1065,34990,1958,67268,92967,21046,174811,10285,5082,26667,60436,20081,40355,217606,66710,150896,65831,60442,52825,47436,60399,60436,4271,1118,217606,3.6,0.81,59692,591,17170,43168,3004,7586,49747,60308,31,60038,56005,285,52313,23965,59992,201,60144,137,59860,0,59991,25604,96,55643,51099,43408,33628,4853,5061,47367,58499,37693,42165,56543,46389,31667,24817,14591,914,1675,11961,180,*
9,Ciudad de México,5,Gustavo A. Madero,0,Total del Municipio,1173351,609477,563874,35261,17306,17955,1137856,592051,545805,1109855,578313,531542,1007795,527969,479826,960772,504545,456227,911482,480252,431230,42615,20950,21665,87446,43132,44314,106549,52771,53778,47023,23424,23599,49290,24293,24997,126620,61797,64823,306027,203469,116135,87334,92.52,212345,819397,141375,1.74,949110,486567,462543,217362,119942,97420,1059751,557164,502587,39009,19957,19052,14196,7445,6751,109,70,39,13910,7330,6580,14124,109,13839,33035,21697,10949,10748,68712,35394,28584,8300,16154,11935,11974,147274,50861,92623,8292,34938,7942,30397,18572,948029,12505,6070,6435,3808,1813,1995,2841,1251,1590,40377,20263,20114,59858,29581,30277,1364,563,801,14594,10191,4403,25271,12702,12569,37534,23289,14245,94261,55325,38936,24464,10655,13809,195421,99640,95781,550594,283617,266977,11.11,10.98,11.25,618184,274269,343915,387814,252835,134979,603239,268962,334277,14945,5307,9638,300902,871522,555494,137485,2052,7130,146273,2146,20306,15673,385423,463694,158203,901136,90812,4796,174901,340155,135255,204900,1162914,435095,727819,370297,340301,362152,332156,339765,340155,22791,7205,1162914,3.42,0.83,338175,1466,104435,235228,15782,43006,280865,339504,160,338900,336452,755,290036,174056,338954,139,339341,298,338541,11,338885,187544,847,318061,276870,217062,143448,24627,66256,264089,327503,185635,228113,306796,246278,143954,95131,60940,5779,11780,79559,1523,*
9,Ciudad de México,6,Iztacalco,0,Total del Municipio,404695,212343,192352,11527,5631,5896,392990,206622,186368,384051,202213,181838,350684,185694,164990,335205,178048,157157,319021,170195,148826,13523,6625,6898,28783,14303,14480,35033,17376,17657,15479,7646,7833,16184,7853,8331,42216,20935,21281,108051,70907,40949,29958,90.59,69312,286131,49074,1.66,334720,173147,161573,67280,37862,29418,367615,193766,173849,15108,7866,7242,4412,2287,2125,37,25,12,4345,2248,2097,4383,37,4316,10060,6941,3502,3439,24447,12464,10229,2753,5788,4088,4067,54311,18646,33706,2664,12837,2520,11286,6453,322710,3136,1487,1649,1091,540,551,816,358,458,13522,6699,6823,20178,10209,9969,418,182,236,3880,2738,1142,5380,3635,1745,11147,7133,4014,30381,18036,12345,8181,3668,4513,61779,31296,30483,207362,108035,99327,11.52,11.34,11.73,224915,102951,121964,125126,82460,42666,219405,100900,118505,5510,2051,3459,110116,294078,183462,57405,553,2609,43288,1721,8563,2690,134768,158916,56731,307375,32436,1938,62204,117720,48329,69391,403805,158017,245788,130175,117740,125122,112687,117544,117720,9510,2925,403805,3.43,0.82,117149,282,31878,85569,4820,12177,100446,117396,52,117352,116564,93,99351,81344,117282,22,117387,42,117263,3,117248,61172,196,111714,97981,79447,53297,8651,26960,92144,114018,72374,82298,108707,91039,53971,40298,25607,1568,2666,21763,322,*
9,Ciudad de México,7,Iztapalapa,0,Total del Municipio,1835486,947835,887651,57907,28569,29338,1777184,919066,858118,1731943,896557,835386,1550672,807550,743122,1468256,766847,701409,1383459,725294,658165,69475,34456,35019,157037,77060,79977,189095,92969,96126,82416,40703,41713,84797,41553,43244,209136,103444,105692,502375,262064,146769,115295,93.65,366835,1293944,174312,1.8,1469086,748603,720483,358708,195863,162845,1673257,872181,801076,42706,22023,20683,28716,14760,13956,305,183,122,28059,14488,13571,28582,298,27932,73036,33313,16801,16512,104424,49556,47193,12640,23207,16076,17049,233756,72989,156029,12033,49836,10724,44113,29281,1482533,24183,11907,12276,7206,3381,3825,5831,2656,3175,66351,33413,32938,81960,41381,40579,3065,1331,1734,26774,18428,8346,46418,24437,21981,69624,41866,27758,164649,92474,72175,46664,20681,25983,349081,177802,171279,742921,382682,360239,10.42,10.33,10.52,984791,431714,553077,563273,374587,188686,963957,424408,539549,20834,7306,13528,594796,1239534,682711,198029,3023,16218,302911,3418,25250,24076,576503,748864,224877,1384540,154092,6142,288659,504365,193029,311336,1820809,655998,1164811,537596,504456,522378,489238,503620,504365,26924,6216,1820809,3.61,0.92,500645,2872,153423,350127,33976,70414,399153,503261,300,502275,495107,1278,421102,324283,502598,374,503213,327,501797,19,502702,290895,1500,462790,397599,294422,197085,38245,111361,389145,484383,247057,323613,455216,349103,183804,116462,82472,9371,18791,132846,2489,*
9,Ciudad de México,8,La Magdalena Contreras,0,Total del Municipio,247622,129335,118287,7221,3636,3585,240358,125675,114683,234567,122811,111756,211148,111268,99880,200201,105789,94412,189047,100355,88692,8941,4382,4559,20269,10025,10244,24656,12330,12326,10947,5479,5468,11154,5434,5720,27704,13771,13933,67328,38073,21646,16427,91.46,47378,174135,26066,1.75,209215,107362,101853,36380,21033,15347,229197,119954,109243,4421,2519,1902,2890,1664,1226,30,25,5,2833,1624,1209,2881,30,2824,6796,5459,2777,2682,13859,6746,6073,1641,3110,2272,2307,33389,10742,21495,1730,7095,1455,6955,3852,198109,2472,1201,1271,823,408,415,651,298,353,8717,4333,4384,11521,5827,5694,333,145,188,3733,2507,1226,5200,3322,1878,8844,5379,3465,21978,12296,9682,6702,2891,3811,45977,23227,22750,105380,55362,50018,10.84,10.71,10.99,132898,60057,72841,77368,50872,26496,129358,58826,70532,3540,1231,2309,68100,178961,105988,28409,162,2075,32890,290,13685,1213,75481,103562,31647,199259,13065,1168,33374,68089,25480,42609,246785,85142,161643,71545,68107,66560,63122,68003,68089,2754,684,246785,3.62,0.87,67362,618,20505,47464,4181,9744,54046,67911,76,67184,64656,802,57729,16832,67672,129,67748,231,67019,3,67560,35003,190,62927,56903,46528,31226,5245,5764,55272,65741,37699,48042,62286,50653,34426,21456,13357,1029,2064,14893,308,*
9,Ciudad de México,9,Milpa Alta,0,Total del Municipio,152685,78314,74371,5824,2963,2861,146847,75344,71503,142323,73132,69191,124381,64251,60130,116360,60256,56104,108278,56374,51904,6993,3500,3493,15473,7593,7880,18405,9078,9327,8021,3995,4026,8082,3882,4200,18754,9229,9525,42673,16437,8767,7670,94.97,36311,105619,10741,1.89,129834,66260,63574,22536,11892,10644,139595,71728,67867,2555,1334,1221,4891,2432,2459,31,18,13,4836,2404,2432,4883,31,4828,13002,2231,1112,1119,7725,3470,3318,1082,1915,1252,1378,19860,5832,12929,1084,4231,885,4298,2081,124106,2193,1035,1158,498,237,261,488,222,266,6096,3063,3033,6818,3469,3349,352,146,206,3219,2058,1161,3651,2204,1447,5921,3350,2571,13598,7138,6460,3880,1641,2239,34589,17341,17248,50781,26519,24262,9.95,9.91,9.99,83292,36134,47158,40847,27989,12858,82107,35732,46375,1185,402,783,46029,106580,24320,24237,194,1782,54316,322,1403,970,41940,66737,15673,117841,10820,243,23565,39100,12570,26530,152682,45281,107401,44823,39101,43390,37668,39035,39100,4022,1700,152682,3.9,1.03,38001,1027,14070,24960,3884,6467,28675,38879,151,34923,31655,4107,33923,8564,37866,817,38425,605,34567,33,37951,22489,274,31136,26378,14769,15372,2968,5670,30411,36675,13896,20252,33845,19798,8170,4273,3030,1061,2683,17031,395,*
9,Ciudad de México,10,Álvaro Obregón,0,Total del Municipio,759137,398130,361007,21213,10574,10639,737101,387144,349957,719830,378643,341187,653085,345756,307329,622262,330419,291843,590251,314600,275651,26306,12978,13328,57710,28410,29300,69965,34578,35387,30823,15337,15486,32011,15819,16192,82778,41501,41277,208337,122319,69602,52717,90.68,136052,538449,83813,1.66,625023,321738,303285,123681,70912,52769,694504,365069,329435,20301,11116,9185,8492,4969,3523,74,57,17,8322,4870,3452,8456,74,8288,18441,16042,8249,7793,38175,19167,15942,4925,9157,6653,6972,87395,28528,55712,4788,19768,4455,17224,11358,625836,7306,3532,3774,2996,1454,1542,2176,1011,1165,25548,12927,12621,36371,18337,18034,1007,446,561,9756,6739,3017,14621,9533,5088,25305,15486,9819,60064,34587,25477,16986,7356,9630,129877,66330,63547,355490,185884,169606,11.28,11.11,11.49,422861,194250,228611,228035,150460,77575,413437,190870,222567,9424,3380,6044,187340,569455,352431,72361,592,8180,93765,1609,55644,5493,245501,312904,93468,608016,41833,2767,103417,219354,85169,134185,757117,274884,482233,236129,219445,217253,200569,219076,219354,12797,3887,757117,3.45,0.81,217550,1153,65965,152779,10835,27847,180055,218704,74,218344,215911,417,178184,69664,218349,95,218480,220,218071,3,218247,104217,435,206829,187834,157147,109289,16985,20336,176390,211976,134949,154631,203151,169135,120733,83063,49379,3120,5739,41663,755,*
9,Ciudad de México,11,Tláhuac,0,Total del Municipio,392313,202123,190190,13208,6598,6610,378960,195452,183508,368453,190345,178108,326890,170071,156819,308117,160746,147371,288877,151415,137462,16140,7839,8301,35930,17542,18388,43053,21123,21930,18773,9325,9448,19240,9331,9909,46722,23017,23705,110169,46196,25335,20861,94.1,84051,278514,29603,1.81,323754,164861,158893,67284,36620,30664,358880,185488,173392,8946,4614,4332,4862,2541,2321,44,24,20,4798,2510,2288,4838,43,4775,13184,7289,3663,3626,20931,9736,9446,2617,4404,3193,3465,46854,14840,30781,2491,9708,2140,9024,6004,321370,5077,2428,2649,1570,750,820,1142,522,620,15237,7589,7648,19284,9722,9562,691,308,383,5149,3455,1694,6689,4256,2433,13508,8129,5379,32152,18217,13935,9837,4502,5335,77704,39583,38121,158027,80668,77359,10.53,10.38,10.69,206502,88880,117622,119860,80922,38938,202179,87393,114786,4323,1487,2836,106993,285065,131981,50167,554,3693,93614,1119,4383,3162,116646,165051,45138,297513,33237,923,60125,106935,38489,68446,391967,131028,260939,118983,106964,117730,105711,106714,106935,9793,2226,391967,3.67,0.93,104766,1908,30713,75950,7080,14260,85324,106424,243,104372,100130,2291,89039,48693,105859,568,106400,262,104143,18,106097,60094,359,96869,82512,58660,41517,10871,38434,82506,101918,50871,64849,96419,71996,42449,22015,15852,2308,4283,29742,648,*
9,Ciudad de México,12,Tlalpan,0,Total del Municipio,699928,365051,334877,18861,9282,9579,680536,355501,325035,664540,347569,316971,599895,315844,284051,570245,301163,269082,539464,286134,253330,24591,12208,12383,56050,27449,28601,67805,33280,34525,29650,14681,14969,30781,15029,15752,79747,39291,40456,193233,108894,61561,47333,91.73,129152,496189,74056,1.66,556226,285896,270330,136812,75592,61220,640044,335417,304627,21648,10749,10899,11884,6417,5467,87,60,27,11730,6321,5409,11832,85,11680,28778,12245,6262,5983,35488,17195,14808,4420,8071,6058,6483,86112,27621,53881,4373,19309,3953,18164,11972,571689,6334,3111,3223,2069,1007,1062,1790,809,981,24588,12349,12239,37509,18687,18822,866,391,475,9140,6105,3035,12674,8167,4507,22331,13503,8828,51857,28951,22906,16280,6985,9295,110906,56624,54282,338661,177202,161459,11.5,11.36,11.66,385373,175590,209783,213329,139765,73564,377072,172419,204653,8301,3171,5130,201070,497865,252854,94440,727,12934,107124,1584,37091,6920,221177,295011,83342,531983,52851,2478,111218,202318,76992,125326,695308,244064,451244,224761,202483,217907,195629,202100,202318,15257,7021,695308,3.44,0.81,200099,1801,59505,142398,12914,24794,164192,201635,274,193535,167425,8373,173366,137695,200615,771,201251,649,193005,33,200606,88204,495,185793,167823,137446,109549,14510,21993,162465,194433,120475,137033,188352,151857,94253,69538,41272,3160,5328,42808,796,*
9,Ciudad de México,13,Xochimilco,0,Total del Municipio,442178,226726,215452,13749,6796,6953,428220,219824,208396,417099,214270,202829,373104,192703,180401,352920,182838,170082,332325,172725,159600,17019,8408,8611,38097,18713,19384,45886,22417,23469,20184,9865,10319,20595,10113,10482,51340,25450,25890,120856,60987,33715,27272,95.03,89049,312227,40693,1.77,364949,185014,179935,75178,40754,34424,404651,209670,194981,8103,4251,3852,10662,5422,5240,91,60,31,10489,5340,5149,10596,91,10423,25846,9830,4856,4974,23115,10703,10431,2792,5325,3641,3785,58091,17299,38811,2855,12288,2311,10510,7067,357311,5192,2534,2658,1456,680,776,1294,600,694,16036,8095,7941,21259,10943,10316,774,313,461,6889,4494,2395,9064,5548,3516,15562,8927,6635,36504,19850,16654,11111,4711,6400,80972,40146,40826,188507,97472,91035,10.84,10.76,10.92,235784,103042,132742,136753,89373,47380,230216,101116,129100,5568,1926,3642,137441,304373,132703,72052,491,4071,82554,1471,9270,7072,132266,189809,50950,343974,32610,1297,63640,117113,42959,74154,438038,151131,286907,131035,117159,129646,115770,117012,117113,10598,3278,438038,3.74,0.91,114202,2741,36043,80911,10388,15947,90616,116707,248,107134,98535,9821,96022,46479,114815,1704,116144,809,106683,43,115068,61486,468,104644,88997,66010,50436,12247,33091,93953,111686,58591,74442,106703,77848,37859,26763,17813,2323,4376,33888,691,*
9,Ciudad de México,14,Benito Juárez,0,Total del Municipio,434153,232032,202121,9319,4572,4747,424796,227435,197361,417473,223816,193657,393387,211967,181420,382872,206818,176054,372085,201395,170690,11006,5391,5615,20403,10077,10326,24256,11883,12373,10515,5149,5366,10787,5423,5364,33294,16744,16550,123446,87344,52615,34729,87.11,51243,321279,61593,1.11,327780,172701,155079,88103,49827,38276,381588,205125,176463,26615,13919,12696,3540,2134,1406,9,8,1,3517,2119,1398,3529,9,3506,5604,12325,6351,5974,18216,9556,7047,2177,4490,3786,3560,50356,15974,30560,2159,12475,2614,10333,7295,361478,1755,841,914,1162,590,572,669,341,328,9600,4895,4705,20575,10170,10405,215,108,107,1350,962,388,2153,1481,672,4193,3028,1165,11067,7843,3224,3414,1776,1638,23731,13776,9955,329366,173476,155890,14.55,14.22,14.93,276919,135320,141599,115666,76285,39381,271246,132702,138544,5673,2618,3055,87197,346451,226913,60598,516,3196,11883,931,70998,3897,161564,176932,54507,305323,24493,4132,99203,176053,77537,98516,432259,175739,256520,199993,176175,184968,161150,175845,176053,18203,5615,432259,2.46,0.56,175564,129,54239,121541,2993,9948,162844,175762,29,175745,175492,43,160719,158802,175671,5,175751,33,175690,0,175641,55256,114,173596,157519,146509,117981,13355,36766,140916,169785,149689,141364,170360,161786,122608,112039,54473,2434,1141,10638,191,*
9,Ciudad de México,15,Cuauhtémoc,0,Total del Municipio,545884,284933,260951,14525,7290,7235,531293,277605,253688,519786,271890,247896,480461,252550,227911,462349,243641,218708,444024,234635,209389,17113,8514,8599,33719,16541,17178,41023,20098,20925,18112,8909,9203,18325,9006,9319,51762,25874,25888,152077,93809,55146,38663,91.58,83469,398058,64291,1.4,418156,215857,202299,110598,60987,49611,480647,252552,228095,28254,14236,14018,9062,4747,4315,66,51,15,8921,4655,4266,9016,66,8875,18461,14780,7540,7240,29124,14695,12686,3260,6536,4680,4657,68992,22239,44874,3504,15394,3489,13415,9069,442238,4345,2195,2150,1844,882,962,1368,625,743,14928,7472,7456,24049,12217,11832,546,235,311,4392,3179,1213,6077,4174,1903,12077,8036,4041,33320,20613,12707,10440,5061,5379,70521,36980,33541,316409,160941,155468,12.41,12.1,12.75,337364,159137,178227,141674,92918,48756,330179,156252,173927,7185,2885,4300,153800,391041,245466,70916,600,4071,44875,1387,34084,4290,204264,203930,71473,378996,40236,5277,119709,196466,88721,107745,540976,239584,301392,227906,196593,209043,177730,195845,196466,21296,10017,540976,2.75,0.72,195486,256,57443,138361,6303,16239,173255,195726,82,195626,195261,183,170762,166899,195410,27,195673,131,195451,2,195386,115318,343,187837,163848,137214,74419,15170,47753,151662,186150,130963,138201,183557,157682,98006,87040,45215,4197,4123,31274,632,*
9,Ciudad de México,16,Miguel Hidalgo,0,Total del Municipio,414470,219003,195467,11182,5379,5803,397362,210660,186702,388565,206268,182297,359069,191632,167437,346049,185267,160782,332956,178841,154115,13447,6658,6789,24846,12370,12476,29824,14679,15145,13020,6365,6655,13093,6426,6667,36545,18619,17926,115822,71111,41605,29506,89.25,62495,295866,50183,1.37,302176,157073,145103,81931,46969,34962,348955,185633,163322,27251,14647,12604,3593,2217,1376,24,15,9,3545,2184,1361,3587,24,3539,6119,11262,5803,5459,17769,9348,7184,2276,4260,3504,3235,46381,15067,29406,2378,10972,2641,9009,5428,340998,2641,1313,1328,1288,646,642,792,398,394,11201,5567,5634,19704,9876,9828,378,172,206,2598,1897,701,3430,2422,1008,7541,5159,2382,20905,13734,7171,5885,2875,3010,44286,24122,20164,254465,131420,123045,13.11,12.76,13.52,244498,116375,128123,113569,74770,38799,239665,114411,125254,4833,1964,2869,79709,328032,195090,39449,649,16389,22295,795,71102,5128,144097,163915,50462,300662,24676,11228,70497,146762,60195,86567,412529,158162,254367,168191,146828,144530,123167,146555,146762,14512,6851,412529,2.81,0.66,144245,228,44992,99529,4093,13100,127324,144483,45,144419,144171,109,119499,102876,144260,10,144398,129,144282,1,144222,58354,177,140796,128315,112847,83032,12292,31432,112959,139522,109631,109265,137103,124777,88559,77955,39658,2459,2398,15787,419,*
9,Ciudad de México,17,Venustiano Carranza,0,Total del Municipio,443704,233586,210118,12749,6235,6514,430540,227141,203399,420142,221888,198254,382101,203320,178781,365208,195012,170196,347576,186203,161373,15997,7944,8053,32442,15877,16565,39089,19115,19974,16893,8308,8585,17632,8809,8823,45461,22446,23015,117331,78964,45947,33017,89.95,78081,310974,54234,1.64,370460,192506,177954,70332,39706,30626,403680,213619,190061,15100,7719,7381,4971,2571,2400,41,26,15,4882,2520,2362,4921,36,4837,10145,10463,5351,5112,25474,13187,10532,3036,6030,4200,4294,56501,19065,35983,2840,13053,2833,11059,7119,357715,3965,1943,2022,1682,834,848,1166,524,642,14301,7355,6946,20106,10091,10015,547,243,304,3955,2737,1218,5055,3376,1679,12174,7754,4420,33698,20509,13189,10067,4806,5261,68851,35576,33275,222921,115692,107229,11.46,11.26,11.69,247472,113822,133650,133894,89197,44697,241783,111624,130159,5689,2198,3491,125162,317712,191753,61576,599,2368,55296,1038,9657,2634,149211,170225,62370,337374,37618,2722,64898,135768,58500,77268,443120,183183,259937,151569,135789,145218,129438,135450,135768,11508,4272,443120,3.26,0.82,134924,343,38688,96612,4489,14556,116253,135248,53,135223,134984,75,124351,106798,135077,17,135217,65,135108,2,135037,76247,230,128325,112817,91606,55086,10160,28982,105631,131104,79437,92856,124244,102008,62293,44934,28376,1895,3850,27580,414,*
